chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.32492027,0.042271238,2201.56588757237,2530.4379252860317,4802.018229166667,0.08944503003747796,-418.23175,87.92752,28.871695,14.181722,6.550615,8.903545,8.085231,5.006757,4.0814543,2.7434225,2.081827,-0.5615476,-2.1385021,0.112710886,-2.8836555,-6.306495,-12.275775,-9.20618,-5.4068365,3.4172058,addhatrital
0.24038623,0.057176527,1552.6526601390096,2192.891559226258,3345.7787047041224,0.04763962765957447,-394.38828,109.491005,35.359886,15.017694,2.525377,2.0236497,2.8669333,0.9526475,-2.103482,-4.2844586,-4.2606177,-3.4745464,-1.6003796,0.1596446,-0.64276695,-0.3331781,-1.6725664,2.377601,0.15346822,-0.42111528,addhatrital
0.255587,0.049081486,1987.4420439998373,2498.180663612567,4457.429812788335,0.06666111736599296,-402.962,94.58292,35.780956,13.202576,4.5343275,3.2313797,3.1440709,1.5112436,-2.294521,-0.40118504,-2.4431973,1.7203615,-0.96709895,2.7146902,-0.8039865,1.8042576,0.14738558,0.6358088,-2.599587,-3.4226205,addhatrital
0.24053307,0.056601573,1604.1046761158154,2226.9362021377588,3492.882134504379,0.047711609275477705,-393.9474,108.53584,34.693676,14.990409,2.5134788,2.95125,4.1961856,1.0581958,-1.8890878,-3.4663167,-3.6645317,-1.7133678,0.014574768,0.7394245,-0.69495445,-0.101069294,-1.0186177,1.3749691,-2.4874094,-2.8864176,addhatrital
0.25259718,0.053910196,1684.9755131393338,2267.4633977837007,3681.7195811170213,0.049844165558510636,-399.02014,105.354126,33.359196,14.220208,2.829742,3.9868066,4.3724194,1.2665724,-0.97163975,-2.0614493,-1.4722433,0.24524342,-0.4541588,0.5025893,-1.6738079,0.074241035,-0.47337556,0.300921,-3.9183369,-3.5303798,addhatrital
0.24874133,0.054346368,1722.8211456609247,2271.7091744500312,3740.856855841959,0.05433295183121019,-401.25266,101.808754,31.315693,14.956708,4.323178,6.117623,5.7443905,1.345654,-0.75769836,-1.8450032,-0.31681335,0.6574122,-0.923559,-0.08968452,-1.8877741,0.38013637,-1.3292589,-2.0245235,-5.8883386,-5.6565256,addhatrital
0.24476913,0.05345513,1830.8455161462944,2346.73656063067,4025.8421817068324,0.060560323424258475,-398.55875,99.88346,32.406395,13.518521,4.8056617,5.7794156,5.248095,2.6168225,-0.33659035,1.0928537,-0.400046,2.7093356,-2.73008,1.0521008,-2.309359,1.5694075,-3.1293392,-5.2766347,-8.716081,-11.279127,addhatrital
0.2509468,0.052069698,1879.4210615976433,2377.3151342341216,4114.5864913712685,0.06525686300639659,-401.4546,97.50083,32.13548,12.561219,4.9528694,6.3943024,6.586438,3.6942024,0.42491803,1.6343411,-0.14693378,2.2738488,-3.174652,1.2587217,-2.565985,0.48130265,-6.3540215,-8.7602215,-11.8682165,-13.37706,addhatrital
0.2739322,0.04998264,1961.4737141342932,2417.023536473388,4305.040493132962,0.07078108412951167,-404.20923,95.20699,31.691618,13.117405,5.8168197,7.517448,7.0023856,4.5324283,1.821661,2.6286318,-0.01238518,1.5565661,-3.2632692,1.5267978,-2.3621714,-1.9889323,-11.200918,-12.629442,-13.172537,-9.501033,addhatrital
0.29629993,0.05036113,1994.6864696281978,2425.563503044559,4359.30782245223,0.07419283273619957,-403.75436,92.952965,30.723742,14.185987,7.0724225,9.214535,8.373167,6.07293,3.0185306,3.2994182,-0.4699179,-0.03980976,-4.028643,1.0929471,-4.666705,-6.8348885,-14.574376,-11.004381,-6.538027,2.4150841,addhatrital
0.2291804,0.061696615,1532.4358763217426,2181.6817860994147,3217.5222992137737,0.05379905619692144,-389.91245,111.84441,41.67646,18.277061,6.229021,0.17812034,-1.4876986,-2.1468062,-2.236366,0.56219417,-3.3245986,-0.2786933,-4.5069356,0.29040465,-2.77938,-0.77129996,-2.5874524,-1.5686452,-6.3599086,-6.2818785,addhatrital
0.23933019,0.05965303,1651.382462637202,2244.945727927197,3483.774466007314,0.06270777925531915,-393.26373,107.905304,40.943478,16.09643,4.4481516,-1.4949709,-1.8278073,-0.964282,-1.385982,1.5899271,-3.7031698,-0.18652005,-5.3153195,1.2438513,-3.1063979,-0.57881755,-3.6258264,-4.843795,-8.162125,-4.8221745,addhatrital
0.2545179,0.058984693,1698.0125398937978,2262.1789222400266,3590.8797079057836,0.06534848081023455,-394.66437,105.95554,39.506203,15.5782,4.0543876,-0.23378287,0.3317038,0.9617054,-0.18452938,0.7473051,-3.8780494,-0.35192692,-4.862239,1.8633795,-3.3029323,-0.8363028,-5.882608,-7.6351676,-6.6684575,-1.8600322,addhatrital
0.25628033,0.04903989,1990.9742973224159,2472.422916541031,4418.849993766622,0.07132022938829788,-407.6525,92.27325,33.7441,12.948002,5.500852,5.893691,5.1616626,2.784958,-1.7009073,-0.2945822,-1.9584467,2.5704029,-1.0651428,2.708221,-1.1481985,1.7934444,-1.2112491,-2.2042146,-4.89235,-6.0587378,addhatrital
0.28001103,0.05659566,1787.6737457743654,2305.025333080806,3774.6101541722073,0.07279650099734042,-393.7391,104.17619,38.265438,15.392674,3.435352,0.5953768,2.1066785,3.362705,1.277454,1.0833167,-3.3617554,-0.06705986,-3.5790663,2.0414488,-4.3543997,-1.2256738,-6.698684,-6.188595,-2.4137938,-0.24307084,addhatrital
0.25515553,0.07229808,1379.095239124427,2021.1580735530524,2694.967830882353,0.04975134585084034,-370.88953,119.02525,37.139545,13.167906,2.8363724,1.9850435,4.0562406,3.0800285,-2.7145474,-2.6012075,-6.325291,-1.7335273,-3.4125087,0.10867613,-4.56791,-2.416037,-4.478609,1.064113,-0.3538874,-2.2140555,addhatrital
0.2556339,0.06963562,1414.2880346421414,2060.220465862888,2872.6506106954225,0.050240702024647886,-374.36893,117.401505,36.389484,13.49748,3.5366662,3.5594249,5.461716,3.5485399,-2.2169814,-1.4294934,-4.834001,0.5679654,-3.191658,-0.007326583,-5.0974383,-1.83036,-2.6817765,1.0310509,-2.6731107,-3.2105074,addhatrital
